feature,total,total_diff
f311_AMT_PAYMENT-m-AMT_ANNUITY_pctchange_min,21989.0,51.0
f706_12,21984.0,58.0
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std-d-mean,21982.0,62.0
f501_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_std-d-mean,21981.0,95.0
f202_SK_DPD_diff_std,21980.0,32.0
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,21979.0,57.0
f310_delay_amt_delta_std-d-mean,21977.0,47.0
f505_Active_AMT_CREDIT_SUM_OVERDUE-d-app_AMT_INCOME_TOTAL_diff_max-m-min,21976.0,12.0
f105_amt_paid-d-unpaid_sum,21972.0,122.0
f406_CNT_DRAWINGS_ATM_CURRENT_diff_std,21971.0,9.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_pctchange_max,21971.0,35.0
f001_building_score_avg_mean,21966.0,132.0
f001_EXT_SOURCES_1-3,21964.0,10.0
f509_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL,21961.0,29.0
f308_cas_days_weighted_delay_diff_mean,21959.0,63.0
f707_11,21956.0,48.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,21955.0,109.0
f308_cons_NUM_INSTALMENT_ratio_diff_var,21955.0,1.0
f101_completed_AMT_ANNUITY-d-app_AMT_ANNUITY_max,21955.0,5.0
f509_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE,21954.0,124.0
f105_amt_unpaid_sum-p-app,21953.0,113.0
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_diff,21953.0,167.0
f109_AMT_DOWN_PAYMENT,21948.0,138.0
f101_completed_AMT_APPLICATION-d-app_AMT_ANNUITY_max,21947.0,53.0
f510_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT,21947.0,111.0
f509_DAYS_CREDIT_ENDDATE-m-app_DAYS_LAST_PHONE_CHANGE,21945.0,65.0
f505_Active_DAYS_CREDIT-d-app_DAYS_REGISTRATION_min,21943.0,267.0
f308_cas_DAYS_INSTALMENT_pctchange_max,21942.0,38.0
f101_refused_AMT_CREDIT-d-total_debt_min,21941.0,127.0
f001_building_score_mode_sum,21940.0,50.0
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,21940.0,22.0
f510_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE,21938.0,56.0
f707_10,21935.0,83.0
f501_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_mean,21934.0,6.0
f102_approved_AMT_GOODS_PRICE-d-total_debt_max,21934.0,168.0
f302_notdelay_NUM_INSTALMENT_ratio_std,21930.0,78.0
f308_cons_DBD_diff_mean,21929.0,87.0
f101_approved_AMT_DOWN_PAYMENT_std,21922.0,50.0
f506_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_max,21921.0,163.0
