feature,weight,gain,cover,total
f001_EXT_SOURCES_2-3,0.08690254500310367,0.08692895478995517,0.05006590256404614,0.22389740235710498
f408_AMT_BALANCE-d-app_AMT_INCOME_TOTAL_diff_max,0.0006207324643078833,0.15333238728282336,0.0693517924691139,0.22330491221624515
f405_AMT_BALANCE-d-AMT_DRAWINGS_CURRENT_diff_max-m-min,0.0006207324643078833,0.11425291405556841,0.10599842217770003,0.2208720686975763
f101_refused_AMT_APPLICATION-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max-d-min,0.0006207324643078833,0.13907451429112858,0.0808926912874696,0.22058793804290605
f507_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_mean,0.0012414649286157666,0.17353416316989212,0.04524203820294634,0.22001766630145422
f405_AMT_TOTAL_RECEIVABLE_max-m-min,0.002482929857231533,0.10878924057146515,0.10866959880284405,0.21994176923154074
f301_notdelay_NUM_INSTALMENT_VERSION_nunique,0.014276846679081317,0.09517151255261094,0.1100365482682816,0.21948490749997385
f101_nyg-high_DAYS_FIRST_DUE-m-app_DAYS_EMPLOYED_max,0.0006207324643078833,0.17427176445043943,0.04251741781592871,0.21740991473067603
f502_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max,0.04655493482309125,0.14683008427449729,0.023627919535316337,0.21701293863290488
f505_Active_AMT_CREDIT_SUM_OVERDUE-d-app_AMT_INCOME_TOTAL_diff_max-m-min,0.0111731843575419,0.08702707106119113,0.11801033051874758,0.2162105859374806
f505_Active_AMT_CREDIT_SUM_OVERDUE-d-app_AMT_INCOME_TOTAL_diff_std,0.008069522036002483,0.08642833454920229,0.12044564177559686,0.21494349836080162
f401_AMT_BALANCE-d-app_AMT_CREDIT_diff_mean,0.009931719428926133,0.12817102529475063,0.07605744523030386,0.21416018995398062
f103_active_AMT_APPLICATION-d-app_AMT_ANNUITY_min,0.019242706393544383,0.0869666474815247,0.10787632081009178,0.21408567468516088
f405_AMT_RECEIVABLE_PRINCIPAL_max-m-min,0.0031036623215394167,0.13210025718283663,0.07819244575647663,0.21339636526085268
f305_delay_rev_AMT_PAYMENT_mean,0.0012414649286157666,0.13795991334926563,0.0740960455846225,0.2132974238625039
f405_AMT_INST_MIN_REGULARITY_std,0.0031036623215394167,0.173083026978519,0.03685582677541375,0.21304251607547214
f401_AMT_DRAWINGS_CURRENT-d-app_AMT_ANNUITY_diff_std-d-mean,0.032898820608317815,0.07445639562492733,0.10538455019884757,0.21273976643209272
f101_approved_DAYS_LAST_DUE-d-app_DAYS_BIRTH_max-d-min,0.014276846679081317,0.10960243078138429,0.08828765056473743,0.21216692802520304
f401_AMT_BALANCE-d-app_AMT_ANNUITY_diff_mean,0.006828057107386716,0.15830403464520756,0.046368543502756474,0.21150063525535073
f001_maxwell_feature_1,0.07759155803848541,0.09891962729447458,0.03498478365323188,0.21149596898619188
f405_AMT_BALANCE-d-AMT_DRAWINGS_CURRENT_min,0.03165735567970205,0.08403725636790724,0.09576986615232096,0.21146447819993025
f001_NEW_CAR_TO_BIRTH_RATIO,0.04965859714463067,0.11359329116977826,0.04765510225288887,0.21090699056729778
f103_completed_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,0.014276846679081317,0.08611426420348739,0.10942612297184073,0.20981723385440942
f101_approved_DAYS_LAST_DUE-d-app_DAYS_ID_PUBLISH_max-d-min,0.008069522036002483,0.11701953561842225,0.08455731412784814,0.20964637178227288
f405_AMT_DRAWINGS_ATM_CURRENT_diff_mean,0.004345127250155183,0.10292672507698586,0.10209722991773149,0.20936908224487252
f405_AMT_DRAWINGS_ATM_CURRENT_mean,0.015518311607697082,0.13841032929663524,0.05463093046479538,0.20855957136912773
f001_FLAG_DOCUMENT_3,0.03227808814400993,0.07735644915053058,0.09635934930856366,0.20599388660310416
f401_CNT_DRAWINGS_POS_CURRENT_diff_diff_mean,0.01738050900062073,0.0742223868616884,0.11387960984223758,0.2054825057045467
f405_CNT_DRAWINGS_CURRENT_std,0.029174425822470516,0.101448886828659,0.07455063737202398,0.20517395002315353
f001_alldocs_mean,0.027312228429546864,0.08586097470362272,0.0909588199213929,0.2041320230545625
f310_delay_days_weighted_delay_mean,0.0223463687150838,0.11217759255956342,0.0692336710551286,0.20375763232977584
f410_AMT_BALANCE-d-app_AMT_INCOME_TOTAL_std,0.012414649286157667,0.08845648893397805,0.10283247142388098,0.20370360964401668
f201_MONTHS_BALANCE_max-d-min,0.0595903165735568,0.09742525188534254,0.04648555028741969,0.20350111874631902
f406_AMT_BALANCE-d-app_AMT_INCOME_TOTAL_diff_diff_mean,0.014276846679081317,0.0814767970303345,0.10727656278134991,0.20303020649076572
f101_nyg-middle_AMT_ANNUITY-m-app_AMT_ANNUITY_max,0.018001241464928614,0.08181177848899812,0.10312730399258709,0.20294032394651382
f310_notdelay_NUM_INSTALMENT_ratio_max-m-min,0.004965859714463066,0.13914181966669661,0.058734960090754275,0.20284263947191394
f101_approved_AMT_GOODS_PRICE-m-app_AMT_CREDIT_min,0.00186219739292365,0.14134874005322248,0.059385381726201315,0.20259631917234744
f110_approved_approved_cnt_paid_ratio_max_mean,0.0012414649286157666,0.1756727995410143,0.025397895598753772,0.20231216006838385
f507_Closed_DAYS_ENDDATE_FACT-m-app_DAYS_REGISTRATION_sum,0.0006207324643078833,0.08838932043369678,0.11316595256575662,0.2021760054637613
